"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.33843520946267,0.667,0.036,0,"9","CD160"
0,5.31927231282576,0.379,0.011,0,"9","AKR1C3"
0,5.26459625508037,1,0.132,0,"9","GNLY"
0,5.21891933787167,0.803,0.05,0,"9","CLIC3"
0,4.97824260797459,0.874,0.078,0,"9","IL2RB"
0,8.41051043548082,0.5,0.003,0,"10","OLR1"
0,8.00229228852349,0.994,0.037,0,"10","LTF"
0,7.88208364803224,0.747,0.008,0,"10","CRISP3"
0,7.65702728634443,0.915,0.047,0,"10","CAMP"
0,7.49548314300499,0.954,0.019,0,"10","MMP8"
0,6.77569609520289,0.759,0.022,0,"10","HP"
0,6.71803442817572,0.628,0.008,0,"10","TCN1"
0,6.71768843956287,0.979,0.049,0,"10","LCN2"
0,6.54289817516499,0.296,0.004,0,"10","TFF3"
0,6.10686077067265,0.878,0.087,0,"10","RETN"
0,7.70345048511218,0.326,0.002,0,"11","DEFA1B"
0,7.53039221644884,0.819,0.066,0,"11","DEFA3"
0,7.36222567574237,0.614,0.023,0,"11","ELANE"
0,7.35970838960174,0.735,0.046,0,"11","DEFA4"
0,7.07454261270784,0.66,0.007,0,"11","CEACAM6"
0,6.96230565919167,0.479,0.008,0,"11","TOP2A"
0,6.94413159139539,0.614,0.036,0,"11","MPO"
0,6.90759085162643,0.405,0.005,0,"11","RRM2"
0,6.73735981145609,0.823,0.019,0,"11","MS4A3"
0,6.71255146117197,0.605,0.014,0,"11","RNASE3"
0,4.72856159093474,0.792,0.066,0,"12","MTRNR2L1"
9.42573823417755e-259,4.5155288721273,0.696,0.068,1.88429933039443e-254,"12","CXCL8"
2.30114312806161e-163,4.43397209461715,0.285,0.016,4.60021522730797e-159,"12","AC084871.2"
2.5658962467962e-190,4.18337180544806,0.304,0.015,5.12948318697029e-186,"12","CXCL1"
2.29078051924264e-277,4.12775108958352,0.763,0.077,4.57949933601796e-273,"12","FOLR3"
1.79668610243171e-214,3.77004199634344,0.493,0.038,3.59175518737123e-210,"12","CHI3L1"
6.35316932280629e-299,3.57885377508829,0.918,0.104,1.2700620793222e-294,"12","CMTM2"
1.18483794859736e-181,3.31396378301058,0.425,0.033,2.36860954304099e-177,"12","G0S2"
1.41924465211611e-185,3.23630326378424,1,0.276,2.83721198404531e-181,"12","FCGR3B"
4.17591918194512e-114,3.2108690917201,0.28,0.022,8.3480800366265e-110,"12","HCAR3"
0,9.98002669102533,0.39,0,0,"13","IGF1"
0,7.72305204736171,0.445,0.003,0,"13","HRASLS2"
1.77306258423487e-305,7.71768815333433,0.836,0.066,3.54452941214392e-301,"13","JCHAIN"
4.3530926783476e-99,7.48206075339059,0.37,0.034,8.70226757328468e-95,"13","IGHA2"
0,7.43416277279522,0.295,0.001,0,"13","GLDC"
0,7.40906605368826,0.555,0.011,0,"13","TNFRSF17"
0,7.38520345861482,0.253,0.001,0,"13","CAV1"
8.6832853420851e-100,7.34219309779973,0.452,0.053,1.73587557273623e-95,"13","IGHG1"
1.47174362755949e-203,7.18650506824192,0.274,0.008,2.94216268585419e-199,"13","IGLL5"
0,7.0875818274157,0.479,0.006,0,"13","TXNDC5"
0,8.48727061244795,0.588,0.005,0,"14","FCER1A"
0,7.58438474997735,0.553,0.004,0,"14","ENHO"
0,6.7197833222147,0.596,0.019,0,"14","CLEC10A"
0,6.66367164953825,0.526,0.015,0,"14","CD1C"
0,6.63287599759317,0.421,0.004,0,"14","PKIB"
1.90436890704775e-257,5.36331668909231,0.263,0.004,3.80702388207916e-253,"14","P2RY6"
0,5.21978349353965,0.509,0.013,0,"14","UPK3A"
7.13161781829901e-238,5.00798177566529,0.474,0.018,1.42568171805616e-233,"14","CACNA2D3"
1.53654167362621e-231,4.75626664873259,0.632,0.035,3.07170045974616e-227,"14","HLA-DQA2"
8.63507150470972e-234,4.7557233932655,0.474,0.018,1.72623714450652e-229,"14","BATF3"
0,7.75312989359501,0.945,0.019,0,"15","CDKN1C"
0,7.38146567063845,0.294,0.002,0,"15","CLEC4F"
8.91974625413217e-247,6.27183301905906,0.284,0.005,1.78314647366356e-242,"15","C1QA"
0,5.92684956378945,0.606,0.01,0,"15","NEURL1"
0,5.78060692185764,0.495,0.006,0,"15","CKB"
0,5.66475306633617,0.56,0.014,0,"15","SPRED1"
0,5.41606603889561,0.697,0.015,0,"15","AC064805.1"
0,5.20360380486996,0.642,0.02,0,"15","ZNF703"
4.68122674510574e-270,5.10917310378238,0.431,0.012,9.35824038614088e-266,"15","NR4A1"
1.17376863511774e-259,4.94046986911406,0.505,0.018,2.34648087846387e-255,"15","TPPP3"
0,14.4241617373967,0.368,0,0,"16","TRIM10"
0,13.243633968331,0.789,0,0,"16","GYPB"
0,12.1177663337267,0.754,0,0,"16","EPB42"
0,11.5546486575146,0.333,0,0,"16","ACKR1"
0,11.5116790858565,0.965,0.001,0,"16","ALAS2"
0,11.4876265940121,0.439,0,0,"16","IFIT1B"
0,11.3785595479724,0.439,0.001,0,"16","SPTA1"
0,11.2555534177516,0.877,0.001,0,"16","CA1"
3.31767056850587e-131,11.1950770459458,1,0.102,6.63235523350008e-127,"16","HBA2"
8.29084043297875e-101,11.1360617833268,1,0.141,1.65742191095678e-96,"16","HBB"
0,14.3049014789271,1,0,0,"17","LRRC26"
0,14.0526210705716,0.905,0,0,"17","SCT"
0,13.1475638807453,0.571,0,0,"17","AC097375.1"
0,12.8367341005782,0.429,0,0,"17","KIRREL3"
0,12.2615698790863,0.333,0,0,"17","KCNK10"
0,12.0147076657728,0.333,0,0,"17","EPHA2"
0,11.9389736571723,0.286,0,0,"17","AJAP1"
0,11.773608527989,0.333,0,0,"17","SLC12A3"
0,11.520954851654,0.619,0,0,"17","SHD"
0,11.3074842211456,0.333,0,0,"17","SMOC1"
