"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PTGES3",0,-0.935442917277738,0.398,0.819,0,"PTGES3"
"SARAF",0,-1.11411672856061,0.473,0.893,0,"SARAF"
"RPL3",0,-1.47882488648838,0.564,0.983,0,"RPL3"
"RPL36AL",0,-0.741768878154929,0.532,0.951,0,"RPL36AL"
"SEPT6",0,-1.00018404296775,0.301,0.719,0,"SEPT6"
"RPL27",0,-1.0355983193011,0.556,0.973,0,"RPL27"
"SET",0,-0.778597171836985,0.464,0.88,0,"SET"
"RPS18",0,-1.58393161675765,0.569,0.984,0,"RPS18"
"FYN",0,-1.58603262617652,0.237,0.651,0,"FYN"
"RPL18",0,-1.20555074829561,0.565,0.979,0,"RPL18"
"SSR2",0,-0.798262210309394,0.408,0.822,0,"SSR2"
"UXT",0,-1.22365509624811,0.339,0.753,0,"UXT"
"SSR4",0,-0.596744505752506,0.409,0.823,0,"SSR4"
"RPL7",0,-1.45113759726446,0.56,0.974,0,"RPL7"
"RPS16",0,-1.37575918582712,0.564,0.977,0,"RPS16"
"RPL12",0,-0.992232475969493,0.566,0.978,0,"RPL12"
"SMDT1",0,-1.15103253496143,0.358,0.77,0,"SMDT1"
"RPS4X",0,-1.45663421640387,0.571,0.982,0,"RPS4X"
"RPS13",0,-1.27683485903856,0.568,0.979,0,"RPS13"
"RPL8",0,-0.741872129291602,0.567,0.976,0,"RPL8"
"RPL23",0,-0.968335880794452,0.559,0.967,0,"RPL23"
"RPS3A",0,-1.90938811811454,0.576,0.983,0,"RPS3A"
"RPL26",0,-1.04799679753975,0.572,0.979,0,"RPL26"
"RPL38",0,-1.04239130328091,0.568,0.974,0,"RPL38"
"RPL15",0,-1.2452204552793,0.58,0.985,0,"RPL15"
"RPL7A",0,-1.13411798876395,0.574,0.979,0,"RPL7A"
"RPS8",0,-1.33425784525339,0.575,0.979,0,"RPS8"
"CD7",0,-2.76820753022941,0.085,0.489,0,"CD7"
"NSA2",0,-1.05087725685702,0.396,0.799,0,"NSA2"
"RPS23",0,-1.29227599820449,0.578,0.981,0,"RPS23"
"DDX24",0,-1.01134927587701,0.356,0.759,0,"DDX24"
"RPL6",0,-1.47347697139618,0.579,0.981,0,"RPL6"
"CALR",0,-1.25577023063051,0.294,0.696,0,"CALR"
"NAMPT",0,4.01733619015177,0.716,0.315,0,"NAMPT"
"RPL18A",0,-1.24530922056329,0.582,0.981,0,"RPL18A"
"NCF1",0,2.92697938902426,0.768,0.37,0,"NCF1"
"HSP90AA1",0,-0.724959884334483,0.525,0.923,0,"HSP90AA1"
"ANP32B",0,-0.744376366634393,0.404,0.801,0,"ANP32B"
"UBXN1",0,-0.812890964454576,0.397,0.794,0,"UBXN1"
"RPL36",0,-0.876909594884605,0.581,0.976,0,"RPL36"
"RPS25",0,-1.27494870831647,0.585,0.979,0,"RPS25"
"NUCKS1",0,-1.15161759641888,0.324,0.717,0,"NUCKS1"
"HIST1H1D",0,-1.87398146279537,0.185,0.578,0,"HIST1H1D"
"TOMM20",0,-1.03822393542303,0.361,0.753,0,"TOMM20"
"RPL29",0,-1.1077439338707,0.585,0.977,0,"RPL29"
"PRMT2",0,-0.860773072654031,0.337,0.729,0,"PRMT2"
"RPL27A",0,-1.34253567651416,0.589,0.98,0,"RPL27A"
"NAP1L1",0,-0.329611917341097,0.451,0.842,0,"NAP1L1"
"TRBC1",0,-3.08048076140395,0.07,0.46,0,"TRBC1"
"RPS2",0,-1.25616670152839,0.593,0.983,0,"RPS2"
"PTMA",0,-0.951702939731029,0.599,0.988,0,"PTMA"
"RPS19",0,-1.0626607542842,0.593,0.982,0,"RPS19"
"RPS6",0,-1.59848278104491,0.592,0.98,0,"RPS6"
"EIF3D",0,-1.15357812961611,0.308,0.696,0,"EIF3D"
"RPS7",0,-1.30830391469812,0.592,0.979,0,"RPS7"
"SPOCK2",0,-2.19791894998354,0.106,0.493,0,"SPOCK2"
"PFDN5",0,-0.777639265600163,0.582,0.969,0,"PFDN5"
"RPS15",0,-1.12045736797968,0.593,0.98,0,"RPS15"
"GCC2",0,-0.975035385650078,0.318,0.705,0,"GCC2"
"PEBP1",0,-1.23442869012796,0.238,0.624,0,"PEBP1"
"IL1R2",0,6.54317841214256,0.401,0.016,0,"IL1R2"
"RPL37A",0,-0.861307852902577,0.595,0.98,0,"RPL37A"
"RPS3",0,-1.49544822566558,0.598,0.982,0,"RPS3"
"RPL13A",0,-1.34362067442986,0.601,0.983,0,"RPL13A"
"ST13",0,-1.10979551003654,0.34,0.722,0,"ST13"
"RPL9",0,-1.36921473293576,0.597,0.978,0,"RPL9"
"FCGR3B",0,4.75136631881702,0.453,0.073,0,"FCGR3B"
"LEPROTL1",0,-1.399326075712,0.237,0.617,0,"LEPROTL1"
"SNHG8",0,-1.16981309169891,0.337,0.717,0,"SNHG8"
"UCP2",0,-0.990185930110316,0.329,0.708,0,"UCP2"
"CD99",0,-0.902540133626455,0.275,0.653,0,"CD99"
"MT-ND5",0,-1.39271902986142,0.613,0.991,0,"MT-ND5"
"GIMAP2",0,-1.5261837455605,0.19,0.568,0,"GIMAP2"
"CUTA",0,-1.34513836100899,0.271,0.648,0,"CUTA"
"ABRACL",0,-1.37085677962763,0.262,0.639,0,"ABRACL"
"RPLP2",0,-1.12210498741885,0.603,0.979,0,"RPLP2"
"RPL19",0,-1.219452282165,0.607,0.983,0,"RPL19"
"C1orf56",0,-0.9658891136211,0.239,0.614,0,"C1orf56"
"C6orf48",0,-1.41106780696297,0.263,0.638,0,"C6orf48"
"BTN3A2",0,-0.663972361657681,0.285,0.659,0,"BTN3A2"
"MT-ND6",0,-0.950148801493105,0.305,0.679,0,"MT-ND6"
"RPL10",0,-1.54946688668779,0.612,0.986,0,"RPL10"
"C19orf53",0,-0.986844757948939,0.345,0.719,0,"C19orf53"
"BASP1",0,4.28244662442218,0.493,0.12,0,"BASP1"
"EIF2S3",0,-0.907136027002612,0.363,0.736,0,"EIF2S3"
"MIF",0,-1.34636279768521,0.254,0.627,0,"MIF"
"LRRK2",0,3.3963926848957,0.562,0.19,0,"LRRK2"
"RPL35A",0,-1.11678906938078,0.612,0.984,0,"RPL35A"
"TSTD1",0,-1.06350988035541,0.208,0.579,0,"TSTD1"
"IGHA1",0,3.36679665061852,0.427,0.057,0,"IGHA1"
"RORA",0,-2.56383364380952,0.08,0.448,0,"RORA"
"ACSL1",0,4.442040234341,0.474,0.108,0,"ACSL1"
"KIF2A",0,-0.276158540685856,0.227,0.593,0,"KIF2A"
"RPS15A",0,-1.21317608276539,0.618,0.982,0,"RPS15A"
"SERPINA1",0,2.87017920362644,0.545,0.183,0,"SERPINA1"
"RPS12",0,-1.40587992648403,0.622,0.983,0,"RPS12"
"BCL11B",0,-2.40412925799434,0.085,0.444,0,"BCL11B"
"SLC25A37",0,4.10339484120604,0.664,0.306,0,"SLC25A37"
"RPS24",0,-1.07391698176025,0.622,0.98,0,"RPS24"
"GCA",0,3.53968375704792,0.614,0.258,0,"GCA"
"PIK3IP1",0,-1.66819413208689,0.185,0.539,0,"PIK3IP1"
"ITM2A",0,-2.06546899392447,0.093,0.446,0,"ITM2A"
"SELENOW",0,-1.25583822181008,0.215,0.568,0,"SELENOW"
"GYPC",0,-1.26566428746175,0.24,0.591,0,"GYPC"
"RPL32",0,-1.30744476637232,0.631,0.982,0,"RPL32"
"CCT3",0,-1.38586463035274,0.251,0.6,0,"CCT3"
"RPS14",0,-1.34894135369576,0.635,0.982,0,"RPS14"
"RPS29",0,-1.29331440629258,0.637,0.984,0,"RPS29"
"RPS11",0,-0.995917047096086,0.631,0.978,0,"RPS11"
"NACA",0,-1.13537095257298,0.632,0.977,0,"NACA"
"RPL11",0,-1.02920388069823,0.638,0.982,0,"RPL11"
"FPR1",0,3.60202557128021,0.495,0.153,0,"FPR1"
"RPL13",0,-1.36026462485144,0.646,0.985,0,"RPL13"
"BCL6",0,4.73169905602843,0.433,0.095,0,"BCL6"
"LAT",0,-1.08270891991036,0.099,0.435,0,"LAT"
"RPS28",0,-0.974168744948456,0.647,0.983,0,"RPS28"
"ITK",0,-2.5101889985806,0.071,0.406,0,"ITK"
"RPL21",0,-1.25821518192106,0.646,0.981,0,"RPL21"
"MXD1",0,3.91827280104951,0.505,0.172,0,"MXD1"
"SAMD3",0,-2.55560442836153,0.076,0.406,0,"SAMD3"
"CD96",0,-2.29647024128896,0.075,0.404,0,"CD96"
"RPS27A",0,-1.41105193521812,0.658,0.986,0,"RPS27A"
"DENND2D",0,-1.83062832948482,0.118,0.445,0,"DENND2D"
"PAXX",0,-1.67025177033678,0.18,0.507,0,"PAXX"
