"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TMOD3",1.07327030589201e-16,0.624774569785455,0.366,0.492,2.14557466850872e-12,"TMOD3"
"NINJ1",1.08430533670564e-16,2.14268274799878,0.22,0.171,2.16763479860825e-12,"NINJ1"
"DICER1",1.10737080037526e-16,1.59078160304971,0.375,0.351,2.21374496703018e-12,"DICER1"
"ZNF407",1.26935651193256e-16,0.540722214883572,0.102,0.154,2.53757060300439e-12,"ZNF407"
"ITCH",1.43006276964427e-16,0.657465964301561,0.212,0.285,2.85883848279586e-12,"ITCH"
"IFNAR2",1.65170478147741e-16,0.719826990989233,0.166,0.231,3.30192302865149e-12,"IFNAR2"
"SULT1A1",1.71101801268178e-16,1.58661808635963,0.232,0.185,3.42049610915214e-12,"SULT1A1"
"PISD",1.81272117025526e-16,2.29910855526201,0.168,0.121,3.6238108914573e-12,"PISD"
"FAM120A",1.9410517775216e-16,1.45060236051181,0.368,0.343,3.88035660844343e-12,"FAM120A"
"MCCC2",2.06418387077365e-16,-0.628217877162999,0.06,0.1,4.1265099760636e-12,"MCCC2"
"MARCH1",2.08090776965721e-16,0.66947719442101,0.28,0.227,4.15994272232172e-12,"MARCH1"
"PRDM2",2.11181989995966e-16,0.687207630178007,0.32,0.423,4.22173916200936e-12,"PRDM2"
"CRYBG1",2.36859495594435e-16,0.579098653830705,0.24,0.319,4.73505817642835e-12,"CRYBG1"
"UBE2R2",2.49632028561803e-16,1.68455310618911,0.415,0.404,4.990393882979e-12,"UBE2R2"
"ZNF148",2.5810647013606e-16,0.810774632876969,0.317,0.422,5.15980644448998e-12,"ZNF148"
"ITGAX",2.99972708385982e-16,1.83969906255136,0.238,0.19,5.99675441334416e-12,"ITGAX"
"SIPA1",3.02619963237935e-16,0.610392401732539,0.266,0.351,6.04967568508956e-12,"SIPA1"
"SLC15A4",3.21057287681704e-16,2.23490813743071,0.219,0.174,6.41825623804494e-12,"SLC15A4"
"CHD2",3.37720118861388e-16,0.870997705520624,0.329,0.439,6.75136289615801e-12,"CHD2"
"NAGLU",3.8722799867552e-16,-0.505895077105987,0.063,0.102,7.74107492152233e-12,"NAGLU"
"GOT2",4.48161187331308e-16,-0.935990193712493,0.061,0.1,8.95919029594017e-12,"GOT2"
"DNASE1",4.63495887400704e-16,0.580013015646291,0.088,0.136,9.26574628502747e-12,"DNASE1"
"SAMD9",4.9072520889803e-16,0.795167792705839,0.403,0.544,9.81008765108052e-12,"SAMD9"
"MFSD14B",5.30953843013797e-16,1.48952988995014,0.24,0.192,1.06142982756888e-11,"MFSD14B"
"USP33",5.55151804272712e-16,0.615717027221163,0.259,0.342,1.10980397192158e-11,"USP33"
"PSMA3-AS1",7.1858705405454e-16,0.898452291562132,0.405,0.54,1.43652737976043e-11,"PSMA3-AS1"
"HIST1H2AC",7.89644729793136e-16,1.68168819151403,0.248,0.209,1.57857877932946e-11,"HIST1H2AC"
"MAPK13",8.48294904540927e-16,0.574428344947406,0.081,0.128,1.69582634366777e-11,"MAPK13"
"EXOC1",9.3006016940824e-16,0.600861243398811,0.194,0.261,1.85928328466401e-11,"EXOC1"
"THOC6",1.11107365948178e-15,-0.587147766228777,0.084,0.127,2.22114735267003e-11,"THOC6"
"GRINA",1.15152116180521e-15,1.40501412225726,0.248,0.199,2.30200595456479e-11,"GRINA"
"KCTD12",1.26179450896113e-15,0.920317717008931,0.219,0.171,2.52245340286419e-11,"KCTD12"
"UBE2D3",1.29634126112455e-15,1.13155545445009,0.609,0.737,2.59151581511409e-11,"UBE2D3"
"CCND3",1.36512137673006e-15,0.630335087436845,0.459,0.617,2.72901414422106e-11,"CCND3"
"SQOR",1.51927623548862e-15,1.65032396513072,0.255,0.213,3.0371851223653e-11,"SQOR"
"HELZ",1.53482313461378e-15,0.598279555459243,0.298,0.404,3.06826492840641e-11,"HELZ"
"JAML",1.63658242046453e-15,1.22721419246608,0.371,0.342,3.27169191675064e-11,"JAML"
"MAP4K4",1.6686743689415e-15,1.65925902352129,0.408,0.401,3.33584693095095e-11,"MAP4K4"
"TMEM165",1.94335683860833e-15,0.697729471398441,0.313,0.415,3.88496465606191e-11,"TMEM165"
"HMG20B",2.01749081771249e-15,0.517398169789236,0.126,0.178,4.03316589368904e-11,"HMG20B"
"HDAC8",2.03960397771593e-15,-0.622673024213752,0.065,0.103,4.07737231185191e-11,"HDAC8"
"LGALS9",2.04600613943313e-15,1.29763800750039,0.263,0.217,4.09017087334076e-11,"LGALS9"
"SECTM1",2.08284034005144e-15,2.00323569786048,0.162,0.116,4.16380612379683e-11,"SECTM1"
